,Company Name,BSE SYMBOL
0,Reliance Industries Ltd,RELIANCE.NS
1,Tata Consultancy Services Ltd.,TCS.NS
2,HDFC Bank Ltd.,HDFCBANK.NS
3,Infosys Ltd,INFY.NS
4,"Hindustan Unilever Ltd.,",HINDUNILVR.NS
5,Housing Development Finance Corp.Lt,HDFC.NS
6,ICICI Bank Ltd.,ICICIBANK.NS
7,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
8,"State Bank Of India,",SBIN.NS
9,Bajaj Finance Limited,BAJFINANCE.NS
10,Bharti Airtel  Ltd.,BHARTIARTL.NS
11,HCL Technologies Ltd,HCLTECH.NS
12,"Wipro  Ltd.,",WIPRO.NS
13,ITC Ltd,ITC.NS
14,Asian Paints Ltd.,ASIANPAINT.NS
15,AXIS Bank Ltd.,AXISBANK.NS
16,Maruti Suzuki India  Ltd.,MARUTI.NS
17,Larsen & Toubro Limited,LT.NS
18,Avenue Supermarts Limited,DMART.NS
19,UltraTech Cement Ltd,ULTRACEMCO.NS
20,Adani Green Energy Limited,ADANIGREEN.NS
21,Nestle India Ltd.,NESTLEIND.NS
22,Bajaj Finserv Limited,BAJAJFINSV.NS
23,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
24,Adani Ports and Special Economic Zone Ltd,ADANIPORTS.NS
25,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE.NS
26,Oil And Natural Gas Corporation Ltd,ONGC.NS
27,Titan Company Limited,TITAN.NS
28,JSW Steel Limited,JSWSTEEL.NS
29,"Hindustan Zinc Ltd.,",HINDZINC.NS
30,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID.NS
31,Adani Enterprises Ltd.,ADANIENT.NS
32,Bajaj Auto Limited,BAJAJ-AUTO.NS
33,Tata Motors Ltd.,TATAMOTORS.NS
34,NTPC Limited,NTPC.NS
35,Adani Transmission Limited,ADANITRANS.NS
36,TATA STEEL LIMITED,TATASTEEL.NS
37,Divi's Laboratories Ltd.,DIVISLAB.NS
38,Mahindra & Mahindra Ltd.,M&M.NS
39,ADANI TOTAL GAS LIMITED,ATGL.NS
40,"Shree Cements Ltd.,",SHREECEM.NS
41,Tech Mahindra Limited,TECHM.NS
42,Dabur India Ltd.,DABUR.NS
43,"Bharat Petroleum Corpn. Ltd.,",BPCL.NS
44,Pidilite Industries Ltd.,PIDILITIND.NS
45,Indian Oil Corporation Ltd.,IOC.NS
46,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD.NS
47,SBI Life Insurance Company Limited,SBILIFE.NS
48,Coal India Limited,COALINDIA.NS
49,"Grasim Industries Ltd.,",GRASIM.NS
50,"Britannia Industries Ltd.,",BRITANNIA.NS
51,Vedanta Limited,VEDL.NS
52,"Dr. Reddy's Laboratories Ltd.,",DRREDDY.NS
53,Godrej Consumer Products Ltd.,GODREJCP.NS
54,Hindalco Industries Ltd.,HINDALCO.NS
55,IndusInd Bank Ltd.,INDUSINDBK.NS
56,Berger Paints India Ltd,BERGEPAINT.NS
57,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
58,Eicher Motors Ltd.,EICHERMOT.NS
59,"Cipla Ltd.,",CIPLA.NS
60,DLF LIMITED,DLF.NS
61,Larsen & Toubro Infotech Limited,LTI.NS
62,INDUS TOWERS LIMITED,INDUSTOWER.NS
63,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
64,"Siemens Ltd.,",SIEMENS.NS
