,Company Name,Ticker,Model
0,Reliance Industries Ltd,RELIANCE,RELIANCE.sav
1,Tata Consultancy Services Ltd.,TCS,TCS.sav
2,HDFC Bank Ltd.,HDFCBANK,HDFCBANK.sav
3,Infosys Ltd,INFY,INFY.sav
4,"Hindustan Unilever Ltd.,",HINDUNILVR,HINDUNILVR.sav
5,Housing Development Finance Corp.Lt,HDFC,HDFC.sav
6,ICICI Bank Ltd.,ICICIBANK,ICICIBANK.sav
7,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAKBANK.sav
8,"State Bank Of India,",SBIN,SBIN.sav
9,Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.sav
10,Bharti Airtel  Ltd.,BHARTIARTL,BHARTIARTL.sav
11,HCL Technologies Ltd,HCLTECH,HCLTECH.sav
12,"Wipro  Ltd.,",WIPRO,WIPRO.sav
13,ITC Ltd,ITC,ITC.sav
14,Asian Paints Ltd.,ASIANPAINT,ASIANPAINT.sav
15,AXIS Bank Ltd.,AXISBANK,AXISBANK.sav
16,Maruti Suzuki India  Ltd.,MARUTI,MARUTI.sav
17,Larsen & Toubro Limited,LT,LT.sav
18,Avenue Supermarts Limited,DMART,DMART.sav
19,Adani Green Energy Limited,ADANIGREEN,ADANIGREEN.sav
20,Nestle India Ltd.,NESTLEIND,NESTLEIND.sav
21,Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV.sav
22,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA.sav
23,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,ADANIPORTS.sav
24,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE,HDFCLIFE.sav
25,Oil And Natural Gas Corporation Ltd,ONGC,ONGC.sav
26,Titan Company Limited,TITAN,TITAN.sav
27,JSW Steel Limited,JSWSTEEL,JSWSTEEL.sav
28,"Hindustan Zinc Ltd.,",HINDZINC,HINDZINC.sav
29,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,POWERGRID.sav
30,Adani Enterprises Ltd.,ADANIENT,ADANIENT.sav
31,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.sav
32,Tata Motors Ltd.,TATAMOTORS,TATAMOTORS.sav
33,NTPC Limited,NTPC,NTPC.sav
34,Adani Transmission Limited,ADANITRANS,ADANITRANS.sav
35,TATA STEEL LIMITED,TATASTEEL,TATASTEEL.sav
36,Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB.sav
37,ADANI TOTAL GAS LIMITED,ATGL,ATGL.sav
38,"Shree Cements Ltd.,",SHREECEM,SHREECEM.sav
39,Tech Mahindra Limited,TECHM,TECHM.sav
40,Dabur India Ltd.,DABUR,DABUR.sav
41,"Bharat Petroleum Corpn. Ltd.,",BPCL,BPCL.sav
42,Pidilite Industries Ltd.,PIDILITIND,PIDILITIND.sav
43,Indian Oil Corporation Ltd.,IOC,IOC.sav
44,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD,SBICARD.sav
45,SBI Life Insurance Company Limited,SBILIFE,SBILIFE.sav
46,Coal India Limited,COALINDIA,COALINDIA.sav
47,"Grasim Industries Ltd.,",GRASIM,GRASIM.sav
48,"Britannia Industries Ltd.,",BRITANNIA,BRITANNIA.sav
49,Vedanta Limited,VEDL,VEDL.sav
50,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DRREDDY.sav
